编号	专业分类	年级	性别	Q1	Q2	Q3	Q4	Q5	Q61	Q62	Q63	Q64	Q65	Q66	Q67	Q68	Q69	Q610	Q611	Q612	Q613	Q614	Q615	Q616
1	5	1	 	1	1	2	1	5	0	0	0	0	0	0	0	4	0	0	4	4	3	4	4	4
2	5	1	 	1	1	2	1	3	0	0	0	0	0	0	0	5	0	0	5	0	0	3	4	0
3	5	1	1	1	1	2	1	4	0	0	0	0	0	0	0	2	0	0	5	2	4	3	5	3
4	3	 	1	1	1	2	1	3	0	0	0	0	0	0	0	5	0	0	5	5	5	5	5	5
5	1	 	1	1	1	1	1	4	0	0	0	0	0	0	0	2	0	0	1	2	4	4	4	4
6	1	1	1	1	1	1	1	5	0	0	0	0	0	0	0	2	0	0	5	2	2	2	5	3
7	3	1	1	1	1	1	1	3	0	0	0	0	0	0	0	2	0	0	3	3	3	3	4	1
8	4	1	1	1	1	2	1	5	0	0	0	0	0	0	0	1	0	0	3	2	3	2	3	4
9	3	1	1	1	1	1	1	1	0	0	0	0	0	0	0	3	0	1	5	5	3	4	5	5
10	4	2	1	1	1	2	1	5	0	0	0	0	0	0	0	2	0	1	2	2	4	4	5	3
11	4	2	1	1	1	2	1	2	0	0	0	0	0	0	0	1	1	1	5	5	4	3	5	3
12	4	2	1	1	1	2	1	3	0	0	0	0	0	0	0	3	1	1	2	2	2	5	5	2
13	1	2	1	1	1	1	1	2	0	0	0	0	0	1	0	2	1	1	5	4	4	3	5	3
14	1	2	1	1	1	2	1	2	0	0	0	0	0	1	0	5	1	1	5	1	1	5	5	3
15	1	2	1	1	1	1	1	5	0	0	0	0	0	1	0	1	1	1	4	2	2	2	2	2
16	3	2	1	1	1	2	1	2	0	0	0	0	0	1	0	4	1	1	3	3	3	2	3	3
17	3	2	1	1	1	2	1	2	0	0	0	0	0	1	0	2	1	1	5	5	4	4	5	5
18	3	2	1	1	1	3	1	5	1	0	0	0	0	1	0	4	1	1	5	2	2	2	5	3
19	3	2	1	1	1	1	1	2	1	0	0	1	0	1	0	1	1	1	4	2	2	4	3	4
20	3	2	1	1	1	3	1	3	1	0	0	1	0	1	0	2	1	1	4	4	3	4	5	4
21	1	2	1	1	1	2	1	5	1	0	0	1	0	1	0	2	1	1	5	4	4	3	2	4
22	3	2	1	1	1	2	1	5	1	0	0	1	0	1	0	2	1	1	5	3	3	3	5	3
23	3	2	1	1	1	2	1	5	1	0	0	1	0	1	0	1	1	1	2	2	3	2	1	2
24	3	2	1	1	1	2	1	3	1	0	0	1	0	1	0	5	1	1	4	4	3	3	3	5
25	3	2	1	1	1	3	1	2	1	0	0	1	0	1	0	5	1	1	3	3	5	4	3	1
26	3	2	1	1	1	1	1	2	1	0	1	1	0	1	0	2	1	1	2	3	3	4	2	4
27	3	2	1	1	1	1	1	2	1	1	1	1	0	1	0	3	1	1	3	3	4	4	4	3
28	3	2	1	1	1	1	1	4	1	1	1	1	0	1	0	4	1	1	3	3	3	4	3	2
29	2	2	1	1	1	2	1	1	1	1	1	1	0	1	1	2	1	1	5	1	1	1	1	3
30	4	2	1	1	1	2	1	1	1	1	1	1	0	1	1	2	1	1	4	4	3	3	3	3
31	1	2	1	1	1	1	1	5	1	1	1	1	1	1	1	3	1	1	4	4	4	3	4	3
32	2	2	1	1	1	2	1	3	1	1	1	1	1	1	1	2	1	1	5	5	1	3	5	4
33	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	4	2	3	4	4	2
34	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	3	3	4
35	2	2	1	1	1	2	1	5	1	1	1	1	1	1	1	5	1	1	4	3	2	2	4	2
36	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	5	3	3	4	4	2
37	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	3	1	1	4	4	2	4	4	3
38	2	2	1	1	1	2	1	5	1	1	1	1	1	1	1	2	1	1	2	1	3	4	4	3
39	3	2	1	1	1	2	1	2	1	1	1	1	1	1	1	3	1	1	2	2	4	2	2	3
40	3	2	1	1	1	2	1	1	1	1	1	1	1	1	1	5	1	1	4	0	0	4	0	0
41	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	3	3	5	3	3	3
42	4	2	1	1	1	2	1	3	1	1	1	1	1	1	1	4	1	1	4	4	5	4	5	4
43	3	3	1	1	1	1	1	5	1	1	1	1	1	1	1	2	1	1	2	4	3	3	3	4
44	3	3	1	1	1	3	1	1	1	1	1	1	1	1	1	4	1	1	4	2	2	2	6	1
45	4	3	1	1	1	2	1	2	1	1	1	2	1	1	1	2	1	1	2	4	2	1	4	2
46	3	3	1	1	1	1	1	3	1	1	1	2	1	1	1	3	1	1	3	2	3	4	4	0
47	3	3	1	1	1	2	1	5	1	1	1	2	1	1	1	5	1	1	3	2	3	5	3	3
48	3	3	1	1	1	2	1	5	1	1	1	2	1	1	1	4	1	1	4	2	3	4	3	3
49	3	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	4	4	4	3
50	3	3	1	1	1	2	1	2	1	1	1	2	1	1	1	4	1	1	2	1	1	1	1	3
51	4	3	1	1	1	1	1	1	1	1	1	2	1	1	1	5	1	1	4	3	4	5	4	1
52	3	3	1	1	1	1	1	1	1	1	1	2	1	1	1	4	1	1	4	3	5	1	4	0
53	3	3	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	5	2	2	4	4	3
54	3	3	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	4	3	3	3	4	2
55	4	3	1	1	1	2	1	2	1	2	1	2	1	1	1	2	1	1	4	5	4	3	5	3
56	1	3	1	1	1	2	1	3	1	2	1	2	1	1	1	5	1	1	4	3	3	3	4	4
57	1	3	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	4	3	4	4	4
58	1	3	1	1	1	2	1	5	1	2	1	2	1	1	1	1	1	1	5	3	4	1	5	4
59	3	3	1	1	1	1	1	4	1	2	1	2	1	1	1	1	1	1	2	2	4	3	5	2
60	3	3	1	1	1	3	1	1	1	2	1	2	1	1	1	3	1	1	4	2	2	4	5	2
61	3	3	1	1	1	2	1	2	1	2	1	2	1	1	1	2	1	1	3	0	0	0	3	0
62	3	3	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	4	2	3	2	5	2
63	3	3	1	1	1	2	1	3	1	2	1	2	1	1	1	1	1	1	4	3	3	3	5	3
64	3	3	1	1	1	2	1	2	1	2	1	2	1	1	1	3	1	1	4	4	4	4	5	4
65	3	3	1	1	1	2	1	1	1	2	1	2	1	1	1	5	1	1	5	3	3	4	5	3
66	3	3	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	5	5	3	4	4	3
67	3	3	1	1	1	3	1	2	1	2	1	2	1	1	1	3	1	1	4	3	3	3	4	3
68	3	3	1	1	1	1	1	2	1	2	1	2	1	1	1	3	1	1	4	0	2	4	4	3
69	3	3	1	1	1	2	1	5	1	2	1	2	1	1	1	2	1	1	2	3	2	4	3	2
70	3	3	1	1	1	2	1	2	1	2	1	2	1	1	1	3	1	1	4	3	4	4	4	4
71	3	3	1	1	1	3	1	5	2	2	1	2	1	1	1	1	1	1	3	4	3	3	2	2
72	3	3	1	1	1	1	1	2	2	2	1	2	1	1	1	3	1	1	4	4	5	3	4	4
73	3	3	1	1	1	1	1	2	2	2	1	2	1	1	1	3	1	1	5	2	4	5	4	3
74	3	3	1	1	1	2	1	3	2	2	1	2	1	1	1	3	1	1	4	4	5	3	3	4
75	3	3	1	1	1	2	1	5	2	2	1	2	1	1	1	2	1	1	5	3	3	5	5	5
76	3	3	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	4	3	2	3	4	1
77	3	3	1	1	1	1	1	3	2	2	1	2	1	1	1	2	1	1	3	3	3	3	3	3
78	4	3	1	1	1	3	1	3	2	2	1	2	1	1	1	4	1	1	3	2	3	4	5	1
79	4	3	1	1	1	3	1	3	2	2	1	2	1	1	1	3	1	1	1	2	4	2	1	3
80	3	3	1	1	1	2	1	3	2	2	1	2	1	1	1	3	1	1	4	3	3	4	5	4
81	3	3	1	1	1	1	1	5	2	2	1	2	1	1	1	1	1	1	2	4	3	5	4	4
82	3	3	1	1	1	2	1	3	2	2	2	2	1	1	1	1	1	1	5	4	3	3	5	5
83	3	3	1	1	1	2	1	3	2	2	2	2	1	1	1	4	1	1	4	2	2	1	4	2
84	3	3	1	1	1	2	1	2	2	2	2	2	1	1	1	4	1	1	5	5	3	3	4	3
85	3	3	1	1	1	1	1	3	2	2	2	2	1	1	1	3	1	1	5	3	3	4	4	3
86	3	3	1	1	1	2	1	2	2	2	2	2	1	1	1	4	1	1	3	4	4	4	4	3
87	3	3	1	1	1	3	1	5	2	2	2	2	1	1	1	1	1	1	3	2	3	4	4	4
88	3	3	1	1	1	1	1	1	2	2	2	2	1	1	1	5	1	1	2	2	2	2	2	2
89	3	3	1	1	1	2	1	2	2	2	2	2	1	1	1	3	1	1	2	2	3	4	2	3
90	1	3	1	1	1	2	1	1	2	2	2	2	1	1	1	2	1	1	3	4	4	3	4	2
91	1	3	1	1	1	2	1	5	2	2	2	2	1	1	1	2	1	1	2	2	4	5	5	2
92	1	3	1	1	1	2	1	3	2	2	2	2	1	1	1	2	1	1	2	2	2	5	2	3
93	3	3	1	1	1	1	1	2	2	2	2	2	1	1	1	4	1	1	4	5	4	5	3	3
94	3	3	1	1	1	1	1	2	2	2	2	2	1	1	1	4	1	1	3	3	4	3	2	4
95	1	3	1	1	1	1	1	1	2	2	2	2	1	1	1	3	1	1	4	4	3	3	3	4
96	3	3	1	1	1	1	1	2	2	2	2	2	1	1	1	5	1	1	4	3	2	3	4	2
97	4	3	1	1	1	2	1	3	2	2	2	2	1	1	1	3	1	1	3	2	2	4	4	0
98	3	3	1	1	1	2	1	5	2	2	2	2	1	1	1	4	1	1	5	4	3	4	5	0
99	3	3	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	5	1	4	2
100	3	3	1	1	1	4	1	2	2	2	2	2	1	1	1	2	1	1	4	5	4	2	2	3
101	4	3	1	1	1	2	1	1	2	2	2	2	1	1	1	1	1	1	5	2	4	4	5	1
102	3	3	1	1	1	1	1	2	2	2	2	2	1	1	1	1	2	1	5	3	4	4	5	2
103	3	3	1	1	1	2	1	2	2	2	2	2	1	1	1	2	2	1	5	4	4	5	5	3
104	4	3	1	1	1	1	1	3	2	2	2	2	1	1	1	3	2	1	2	3	4	4	4	2
105	4	3	1	1	1	1	1	2	2	2	2	2	1	1	1	4	2	1	2	2	4	2	5	3
106	4	3	1	1	1	1	1	2	2	2	2	2	1	1	1	5	2	1	5	2	1	4	5	4
107	4	3	1	1	1	1	1	2	2	2	2	2	1	1	1	2	2	1	4	3	4	5	4	3
108	3	3	1	1	1	1	1	5	2	2	2	2	1	1	1	5	2	1	5	3	4	4	5	2
109	3	3	1	1	1	2	1	2	2	2	2	2	1	1	1	4	2	1	4	2	4	3	5	2
110	3	3	1	1	1	2	1	2	2	2	2	2	1	1	1	1	2	1	3	3	4	3	2	4
111	3	3	1	1	1	3	1	2	2	2	2	2	1	1	1	2	2	1	4	4	3	3	4	4
112	3	3	1	1	1	2	1	5	2	2	2	2	1	1	1	1	2	1	3	3	3	3	4	5
113	3	3	1	1	1	2	1	2	2	2	2	2	2	1	1	2	2	1	5	2	4	4	4	2
114	3	3	1	1	1	2	1	2	2	2	2	2	2	1	1	2	2	1	2	1	3	3	4	3
115	3	3	1	1	1	2	1	2	2	2	2	2	2	1	1	4	2	1	2	5	4	4	2	4
116	3	3	1	1	1	1	1	5	2	2	2	2	2	1	1	1	2	1	4	3	1	1	3	4
117	3	3	1	1	1	1	1	2	2	2	2	2	2	1	1	2	2	1	2	6	5	5	5	5
118	3	3	1	1	1	2	1	2	2	2	2	2	2	1	1	1	2	1	4	2	2	3	3	3
119	3	3	1	1	1	2	1	4	2	2	2	2	2	1	1	4	2	2	4	2	3	4	2	0
120	4	3	1	1	1	2	1	5	2	2	2	2	2	1	1	1	2	2	4	4	2	4	5	3
121	3	3	1	1	1	2	1	1	2	2	2	2	2	1	1	3	2	2	2	3	3	3	4	4
122	3	3	1	1	1	3	1	2	2	2	2	2	2	1	1	2	2	2	3	2	2	4	4	3
123	3	3	1	1	1	2	1	3	2	2	2	2	2	1	1	3	2	2	3	2	3	3	5	3
124	3	3	1	1	1	2	1	1	2	2	2	2	2	1	1	1	2	2	4	4	4	4	4	3
125	3	3	1	1	1	2	1	2	2	2	2	2	2	1	1	4	2	2	5	2	4	3	4	4
